ArXiV id,Contains GitHub URL,GitHub URL,GitHub repo contains ArXiV URL,Contains Zenodo URL,Zenodo URL,Zenodo record contains ArXiV URL
2308.04366,Found,https://github.com/SoftwareImpacts/SIMPAC-2023-126,Missing,Missing,,
2307.14406,Found,https://github.com/qt/qtbase,Missing,Missing,,
2308.09257,Found,https://github.com/javaparser/javaparser,Missing,Found,https://zenodo.org/api/records/8055457,Missing
2310.12357,Found,https://github.com/microsounds/tripforce,Missing,Missing,,
2308.15210,Found,https://github.com/metosin/malli,Missing,Missing,,
2310.03044,Found,https://github.com/virtuslab/scg-cli,Missing,Missing,,
2309.01189,Found,https://github.com/LogIntelligence/LogADEmpirical,Missing,Missing,,
2309.09867,Found,https://github.com/test2975/EGFE,Missing,Missing,,
2306.15763,Found,https://github.com/asif33/batchrefactoring,Missing,Missing,,
2308.09937,,,,,,
2308.09547,Found,https://github.com/TestingResearchIllinois/idoft,Missing,Missing,,
2310.07847,Missing,,,Found,https://zenodo.org/api/records/8432714,Missing
2307.08705,Found,https://github.com/judge0/judge0,Missing,Missing,,
2306.16791,Found,https://github.com/springernature/scigraph,Missing,Found,https://zenodo.org/api/records/8083529,Missing
2307.09381,Found,https://github.com/raux/Impact-of-Security-Advisories-on-Library-Migrations,Missing,Missing,,
2308.00147,,,,,,
2310.00032,Found,https://github.com/qhml/ppt,Missing,Missing,,
2308.10828,Found,https://github.com/logpai/LogPub,Found,Missing,,
2308.11237,Found,https://github.com/joernio/joern,Missing,Missing,,
2310.08507,Found,https://github.com/vnrst/Yuga,Found,Missing,,
2308.10227,Found,https://github.com/InPlusLab/SWE,Missing,Missing,,
2308.03314,Found,https://github.com/ZhangZhuoSJTU/Web3Bugs,Missing,Missing,,
2308.01191,Found,https://github.com/LLM4CodeClone/LLM4CodeClone,Missing,Missing,,
2306.16307,Found,https://github.com/apangasa/bestof,Missing,Missing,,
2308.13129,Found,https://github.com/emadfallahzadeh/BatchTesting,Missing,Missing,,
2309.14364,Found,https://github.com/IkegLab/GNCA_invader,Missing,Missing,,
2309.02389,Missing,,,Found,https://zenodo.org/api/records/7600371,Missing
2309.11726,Found,https://github.com/lettier/3d-game-shaders-for-beginners,Missing,Missing,,
2310.03174,Found,https://github.com/mosabrezaei/Test-Case-Recommendation,Found,Missing,,
2307.00267,Found,https://github.com/RedSmallPanda/SSQR,Missing,Missing,,
2307.09375,Found,https://github.com/udacity/self-driving-car,Missing,Missing,,
2308.13754,,,,,,
2307.14349,Found,https://github.com/intitni/CopilotForXcode,Missing,Missing,,
2309.05542,Found,https://github.com/zhudotexe/kani,Found,Missing,,
2303.10439,Missing,,,Found,https://zenodo.org/api/records/7865748,Found
2309.17446,Found,https://github.com/databrickslabs/dolly,Missing,Missing,,
2309.04828,Found,https://github.com/NougatCA/FAIR,Missing,Missing,,
2308.13416,Found,https://github.com/DeepSoftwareAnalytics/SoTaNa,Missing,Missing,,
2308.12079,Missing,,,Found,https://zenodo.org/api/records/8272874,Missing
2308.08033,,,,,,
2308.09458,Found,https://github.com/wikimedia/operations-puppet-cdh4,Missing,Missing,,
2307.02326,Found,https://github.com/openstack/nova,Missing,Missing,,
2310.05727,Found,https://github.com/WeiminXiong/TestingLLM,Missing,Missing,,
2306.15591,Found,https://github.com/RaffaeleGalliera/marlin-rlcc,Missing,Missing,,
2307.10793,Found,https://github.com/patwdj/java-compiler-error-help,Missing,Missing,,
2308.10078,Found,https://github.com/openstack/nova,Missing,Missing,,
2308.01386,Found,https://github.com/dropwizard/dropwizard,Missing,Missing,,
2307.10266,Found,https://github.com/dynaroars/neuralsat,Found,Missing,,
2310.04269,Found,https://github.com/spgroup/mergedataset,Missing,Missing,,
2307.02105,Missing,,,Found,https://zenodo.org/api/records/8109856,Missing
2306.15007,Found,https://github.com/poclecoqq/quality_issues_in_MLSSs,Missing,Missing,,
2309.15474,Found,https://github.com/soarsmu/CCBERT,Missing,Missing,,
2307.08540,Found,https://github.com/microsoft/CodeXGLUE,Missing,Missing,,
2310.06703,Found,https://github.com/submissionfse/DeepLSH,Missing,Missing,,
2307.02443,Missing,,,Found,https://zenodo.org/api/records/8058668,Missing
